lr=0.01 momentum=0.9
epoch 132: loss=tensor([20.1199], device='cuda:1', dtype=torch.float64)
epoch 133: loss=tensor([20.3971], device='cuda:1', dtype=torch.float64)
epoch 134: loss=tensor([20.4211], device='cuda:1', dtype=torch.float64)
epoch 135: loss=tensor([20.3086], device='cuda:1', dtype=torch.float64)
epoch 136: loss=tensor([20.3048], device='cuda:1', dtype=torch.float64)
epoch 137: loss=tensor([20.1180], device='cuda:1', dtype=torch.float64)
epoch 138: loss=tensor([21.0430], device='cuda:1', dtype=torch.float64)
epoch 139: loss=tensor([20.3498], device='cuda:1', dtype=torch.float64)
epoch 140: loss=tensor([19.1052], device='cuda:1', dtype=torch.float64)
epoch 141: loss=tensor([19.6548], device='cuda:1', dtype=torch.float64)
epoch 142: loss=tensor([21.0188], device='cuda:1', dtype=torch.float64)
epoch 143: loss=tensor([23.6058], device='cuda:1', dtype=torch.float64)
epoch 144: loss=tensor([19.5117], device='cuda:1', dtype=torch.float64)
epoch 145: loss=tensor([19.6761], device='cuda:1', dtype=torch.float64)
epoch 146: loss=tensor([19.3804], device='cuda:1', dtype=torch.float64)
epoch 147: loss=tensor([18.8152], device='cuda:1', dtype=torch.float64)
epoch 148: loss=tensor([19.0587], device='cuda:1', dtype=torch.float64)
epoch 149: loss=tensor([19.1099], device='cuda:1', dtype=torch.float64)
epoch 150: loss=tensor([18.8058], device='cuda:1', dtype=torch.float64)
epoch 151: loss=tensor([20.3697], device='cuda:1', dtype=torch.float64)
epoch 152: loss=tensor([32.1919], device='cuda:1', dtype=torch.float64)
epoch 153: loss=tensor([36.4347], device='cuda:1', dtype=torch.float64)
epoch 154: loss=tensor([34.5083], device='cuda:1', dtype=torch.float64)
epoch 155: loss=tensor([28.5365], device='cuda:1', dtype=torch.float64)
epoch 156: loss=tensor([21.8516], device='cuda:1', dtype=torch.float64)
epoch 157: loss=tensor([22.8677], device='cuda:1', dtype=torch.float64)
epoch 158: loss=tensor([26.3418], device='cuda:1', dtype=torch.float64)
epoch 159: loss=tensor([24.5435], device='cuda:1', dtype=torch.float64)
epoch 160: loss=tensor([19.8952], device='cuda:1', dtype=torch.float64)
epoch 161: loss=tensor([23.5771], device='cuda:1', dtype=torch.float64)
epoch 162: loss=tensor([25.6970], device='cuda:1', dtype=torch.float64)
epoch 163: loss=tensor([22.7820], device='cuda:1', dtype=torch.float64)
epoch 164: loss=tensor([18.1531], device='cuda:1', dtype=torch.float64)
epoch 165: loss=tensor([20.9331], device='cuda:1', dtype=torch.float64)
epoch 166: loss=tensor([21.5011], device='cuda:1', dtype=torch.float64)
epoch 167: loss=tensor([19.6727], device='cuda:1', dtype=torch.float64)
epoch 168: loss=tensor([18.0231], device='cuda:1', dtype=torch.float64)
epoch 169: loss=tensor([18.9492], device='cuda:1', dtype=torch.float64)
epoch 170: loss=tensor([20.3961], device='cuda:1', dtype=torch.float64)
epoch 171: loss=tensor([19.3752], device='cuda:1', dtype=torch.float64)
epoch 172: loss=tensor([17.4689], device='cuda:1', dtype=torch.float64)
epoch 173: loss=tensor([18.9872], device='cuda:1', dtype=torch.float64)
epoch 174: loss=tensor([18.2283], device='cuda:1', dtype=torch.float64)
epoch 175: loss=tensor([18.0600], device='cuda:1', dtype=torch.float64)
epoch 176: loss=tensor([20.0487], device='cuda:1', dtype=torch.float64)
epoch 177: loss=tensor([19.5413], device='cuda:1', dtype=torch.float64)
epoch 178: loss=tensor([20.0148], device='cuda:1', dtype=torch.float64)
epoch 179: loss=tensor([19.9542], device='cuda:1', dtype=torch.float64)
epoch 180: loss=tensor([19.3022], device='cuda:1', dtype=torch.float64)
epoch 181: loss=tensor([22.6256], device='cuda:1', dtype=torch.float64)
epoch 182: loss=tensor([23.3218], device='cuda:1', dtype=torch.float64)
epoch 183: loss=tensor([24.3701], device='cuda:1', dtype=torch.float64)
epoch 184: loss=tensor([24.2684], device='cuda:1', dtype=torch.float64)
epoch 185: loss=tensor([23.4730], device='cuda:1', dtype=torch.float64)
epoch 186: loss=tensor([22.4142], device='cuda:1', dtype=torch.float64)
epoch 187: loss=tensor([21.5007], device='cuda:1', dtype=torch.float64)
epoch 188: loss=tensor([21.9814], device='cuda:1', dtype=torch.float64)
epoch 189: loss=tensor([21.6290], device='cuda:1', dtype=torch.float64)
epoch 190: loss=tensor([18.4476], device='cuda:1', dtype=torch.float64)
epoch 191: loss=tensor([19.2896], device='cuda:1', dtype=torch.float64)
epoch 192: loss=tensor([17.7491], device='cuda:1', dtype=torch.float64)
epoch 193: loss=tensor([17.4098], device='cuda:1', dtype=torch.float64)
epoch 194: loss=tensor([17.2136], device='cuda:1', dtype=torch.float64)
epoch 195: loss=tensor([17.1654], device='cuda:1', dtype=torch.float64)
epoch 196: loss=tensor([17.0835], device='cuda:1', dtype=torch.float64)
epoch 197: loss=tensor([16.8354], device='cuda:1', dtype=torch.float64)
epoch 198: loss=tensor([16.5573], device='cuda:1', dtype=torch.float64)
epoch 199: loss=tensor([16.6666], device='cuda:1', dtype=torch.float64)
epoch 200: loss=tensor([16.4905], device='cuda:1', dtype=torch.float64)
