lr=0.01 momentum=0.9
epoch 137: loss=tensor([7.9297], device='cuda:1', dtype=torch.float64)
epoch 138: loss=tensor([7.8927], device='cuda:1', dtype=torch.float64)
epoch 139: loss=tensor([7.7914], device='cuda:1', dtype=torch.float64)
epoch 140: loss=tensor([7.7577], device='cuda:1', dtype=torch.float64)
epoch 141: loss=tensor([7.8027], device='cuda:1', dtype=torch.float64)
epoch 142: loss=tensor([7.6813], device='cuda:1', dtype=torch.float64)
epoch 143: loss=tensor([7.5948], device='cuda:1', dtype=torch.float64)
epoch 144: loss=tensor([7.5558], device='cuda:1', dtype=torch.float64)
epoch 145: loss=tensor([7.5191], device='cuda:1', dtype=torch.float64)
epoch 146: loss=tensor([7.4597], device='cuda:1', dtype=torch.float64)
epoch 147: loss=tensor([7.4959], device='cuda:1', dtype=torch.float64)
epoch 148: loss=tensor([7.4966], device='cuda:1', dtype=torch.float64)
epoch 149: loss=tensor([7.4904], device='cuda:1', dtype=torch.float64)
epoch 150: loss=tensor([7.5713], device='cuda:1', dtype=torch.float64)
epoch 151: loss=tensor([9.1659], device='cuda:1', dtype=torch.float64)
epoch 152: loss=tensor([10.4851], device='cuda:1', dtype=torch.float64)
epoch 153: loss=tensor([11.4001], device='cuda:1', dtype=torch.float64)
epoch 154: loss=tensor([10.5991], device='cuda:1', dtype=torch.float64)
epoch 155: loss=tensor([9.4030], device='cuda:1', dtype=torch.float64)
epoch 156: loss=tensor([8.0842], device='cuda:1', dtype=torch.float64)
epoch 157: loss=tensor([7.9686], device='cuda:1', dtype=torch.float64)
epoch 158: loss=tensor([8.8073], device='cuda:1', dtype=torch.float64)
epoch 159: loss=tensor([9.1877], device='cuda:1', dtype=torch.float64)
epoch 160: loss=tensor([8.9676], device='cuda:1', dtype=torch.float64)
epoch 161: loss=tensor([8.4114], device='cuda:1', dtype=torch.float64)
epoch 162: loss=tensor([8.1804], device='cuda:1', dtype=torch.float64)
epoch 163: loss=tensor([8.8228], device='cuda:1', dtype=torch.float64)
epoch 164: loss=tensor([10.2686], device='cuda:1', dtype=torch.float64)
epoch 165: loss=tensor([10.0297], device='cuda:1', dtype=torch.float64)
epoch 166: loss=tensor([8.7414], device='cuda:1', dtype=torch.float64)
epoch 167: loss=tensor([7.9998], device='cuda:1', dtype=torch.float64)
epoch 168: loss=tensor([8.7745], device='cuda:1', dtype=torch.float64)
epoch 169: loss=tensor([9.6351], device='cuda:1', dtype=torch.float64)
epoch 170: loss=tensor([9.3273], device='cuda:1', dtype=torch.float64)
epoch 171: loss=tensor([8.5624], device='cuda:1', dtype=torch.float64)
epoch 172: loss=tensor([8.2385], device='cuda:1', dtype=torch.float64)
epoch 173: loss=tensor([8.4578], device='cuda:1', dtype=torch.float64)
epoch 174: loss=tensor([8.8344], device='cuda:1', dtype=torch.float64)
epoch 175: loss=tensor([8.5657], device='cuda:1', dtype=torch.float64)
epoch 176: loss=tensor([7.7439], device='cuda:1', dtype=torch.float64)
epoch 177: loss=tensor([7.3755], device='cuda:1', dtype=torch.float64)
epoch 178: loss=tensor([7.7477], device='cuda:1', dtype=torch.float64)
epoch 179: loss=tensor([7.5693], device='cuda:1', dtype=torch.float64)
epoch 180: loss=tensor([7.5253], device='cuda:1', dtype=torch.float64)
epoch 181: loss=tensor([7.3023], device='cuda:1', dtype=torch.float64)
epoch 182: loss=tensor([7.4567], device='cuda:1', dtype=torch.float64)
epoch 183: loss=tensor([7.3078], device='cuda:1', dtype=torch.float64)
epoch 184: loss=tensor([7.2750], device='cuda:1', dtype=torch.float64)
epoch 185: loss=tensor([7.1181], device='cuda:1', dtype=torch.float64)
epoch 186: loss=tensor([7.1625], device='cuda:1', dtype=torch.float64)
epoch 187: loss=tensor([6.9403], device='cuda:1', dtype=torch.float64)
epoch 188: loss=tensor([7.2380], device='cuda:1', dtype=torch.float64)
epoch 189: loss=tensor([7.0497], device='cuda:1', dtype=torch.float64)
epoch 190: loss=tensor([7.1265], device='cuda:1', dtype=torch.float64)
epoch 191: loss=tensor([6.8022], device='cuda:1', dtype=torch.float64)
epoch 192: loss=tensor([7.0808], device='cuda:1', dtype=torch.float64)
epoch 193: loss=tensor([7.0732], device='cuda:1', dtype=torch.float64)
epoch 194: loss=tensor([6.8259], device='cuda:1', dtype=torch.float64)
epoch 195: loss=tensor([6.7672], device='cuda:1', dtype=torch.float64)
epoch 196: loss=tensor([6.7824], device='cuda:1', dtype=torch.float64)
epoch 197: loss=tensor([6.8141], device='cuda:1', dtype=torch.float64)
epoch 198: loss=tensor([6.7628], device='cuda:1', dtype=torch.float64)
epoch 199: loss=tensor([6.7660], device='cuda:1', dtype=torch.float64)
epoch 200: loss=tensor([7.0492], device='cuda:1', dtype=torch.float64)
